bundle_id,group,window_days,base_filter,preagg_applied,over350,over500,errors,p95,max,kinds
group_b_bundle_002,B,1,d.input_ip = %s,False,1,0,0,171.56608297955245,408.79054099787027,"[('normal', 1)]"
group_a_bundle_019,A,180,p.check_bank_routing_number = %s AND p.check_bank_account_number_sha512 = %s,True,1,0,0,155.395125009818,402.5297499902081,"[('normal', 1)]"
group_a_bundle_020,A,180,p.merchant_account_number = %s,True,1,0,0,154.34454099158756,401.82900000945665,"[('normal', 1)]"
group_a_bundle_017,A,180,p.card_holder_number_sha512 = %s,True,1,0,0,150.4383750143461,397.27929199580103,"[('normal', 1)]"
group_c_bundle_017,C,30,d.smart_id = %s,False,1,0,0,154.45150001323782,396.799165988341,"[('normal', 1)]"
group_a_bundle_018,A,180,p.check_bank_routing_number = %s,True,1,0,0,165.51750001963228,396.6070410097018,"[('normal', 1)]"
group_c_bundle_010,C,7,d.smart_id = %s,False,1,0,0,158.84899999946356,394.4853749999311,"[('normal', 1)]"
group_c_bundle_012,C,7,p.card_holder_number_sha512 = %s,False,1,0,0,159.49191700201482,392.8221669921186,"[('normal', 1)]"
group_b_bundle_015,B,90,d.smart_id = %s,False,1,0,0,148.86200000182725,392.6012090232689,"[('normal', 1)]"
group_c_bundle_005,C,1,p.card_holder_number_sha512 = %s,False,1,0,0,162.8620410047006,392.0117499947082,"[('normal', 1)]"
group_c_bundle_008,C,7,d.exact_id = %s,False,1,0,0,168.03150001214817,391.35399999213405,"[('normal', 1)]"
group_c_bundle_020,C,30,p.check_bank_routing_number = %s AND p.check_bank_account_number_sha512 = %s,False,1,0,0,150.54800000507385,389.58254098542966,"[('normal', 1)]"
group_b_bundle_013,B,90,d.exact_id = %s,False,1,0,0,153.98862498113886,387.6659999950789,"[('normal', 1)]"
group_a_bundle_013,A,90,p.card_holder_number_sha512 = %s,False,1,0,0,144.1718749993015,387.48929198482074,"[('normal', 1)]"
group_c_bundle_003,C,1,d.smart_id = %s,False,1,0,0,154.56791600445285,387.4058750225231,"[('normal', 1)]"
group_b_bundle_014,B,90,d.input_ip = %s,False,1,0,0,149.18433301500045,387.0837910217233,"[('normal', 1)]"
group_c_bundle_013,C,7,p.check_bank_routing_number = %s AND p.check_bank_account_number_sha512 = %s,False,1,0,0,144.42945801420137,386.1892919812817,"[('normal', 1)]"
group_c_bundle_006,C,1,p.check_bank_routing_number = %s AND p.check_bank_account_number_sha512 = %s,False,1,0,0,149.65654199477285,386.1216660006903,"[('normal', 1)]"
group_c_bundle_002,C,1,d.input_ip = %s,False,1,0,0,149.27362502203323,385.35512500675395,"[('normal', 1)]"
group_c_bundle_009,C,7,d.input_ip = %s,False,1,0,0,152.14033299707808,385.06566698197275,"[('normal', 1)]"
group_c_bundle_004,C,1,d.true_ip = %s,False,1,0,0,146.74779199413024,385.0272079871502,"[('normal', 1)]"
group_a_bundle_015,A,90,p.check_bank_routing_number = %s AND p.check_bank_account_number_sha512 = %s,False,1,0,0,146.4614580036141,382.0755830092821,"[('normal', 1)]"
group_b_bundle_016,B,90,d.true_ip = %s,False,1,0,0,149.1327910043765,380.28816698351875,"[('normal', 1)]"
